msgid,msgstr
Connect to {},Pripojiť sa k {}
Connected App,Prepojená aplikácia
Connected User,Pripojený používateľ
Connected to QZ Tray!,Pripojené k QZ Tray!
Connection Lost,Strata spojenia
Connection Success,Pripojenie úspešné
Connection lost. Some features might not work.,Spojenie bolo stratené. Niektoré funkcie nemusia fungovať.
Connections,Spojenia
Console,Konzola
Console Log,Protokol konzoly
Console Logs can not be deleted,Záznamy konzoly sa nedajú odstrániť
Constraints,Obmedzenia
Contact,Kontakt
Contact Details,Kontaktné údaje
Contact Email,Kontaktný email
Contact Numbers,Kontaktné čísla
Contact Phone,Kontakt Telefón
Contact Synced with Google Contacts.,Kontakt bol synchronizovaný s Google Kontaktmi.
Contact Us,Kontaktujte nás
Contact Us Settings,"Nastavenia ""Kontaktujte nás"""
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Možnosti kontaktu, ako napríklad „Dopyt na predaj, Dopyt na podporu“ atď., každá na novom riadku alebo oddelené čiarkami."
Contains {0} security fix,Obsahuje {0} bezpečnostnú opravu
Contains {0} security fixes,Obsahuje {0} opráv zabezpečenia
Content,Obsah
Content (HTML),Obsah (HTML)
Content (Markdown),Obsah (Markdown)
Content Hash,Hash obsahu
Content Type,Typ obsahu
Content data shoud be a list,Obsahové údaje by mali byť zoznamom
Content type for building the page,Typ obsahu na vytvorenie stránky
Context,Kontekst
Context Script,Kontextový skript
Continue,Pokračovať
Contributed,Prispelo
Contribution Document Name,Názov dokumentu o príspevku
Contribution Status,Stav príspevku
"Controls whether new users can sign up using this Social Login Key. If unset, Website Settings is respected.","Určuje, či sa noví používatelia môžu prihlásiť pomocou tohto kľúča na sociálne prihlásenie. Ak nie je nastavené, rešpektujú sa nastavenia webovej stránky."
Copied to clipboard.,Skopírované do schránky.
Copy Embed Code,Kopírovať vložený kód
Copy Link,Kopírovať odkaz
Copy error to clipboard,Skopírovať chybu do schránky
Copy to Clipboard,Kopírovať do schránky
Copyright,Autorské práva
Core DocTypes cannot be customized.,Jadrá DocTypes nie je možné prispôsobiť.
Core Modules {0} cannot be searched in Global Search.,Moduly jadra {0} nemožno vyhľadávať v globálnom vyhľadávaní.
Correct version :,Správna verzia :
Could not connect to outgoing email server,Nepodarilo sa pripojiť k odchádzajúcemu e-mailovému serveru
Could not find {0},Nemôžem nájsť {0}
Could not map column {0} to field {1},Nemohla sa mapovať stĺpec {0} na pole {1}
"Couldn't save, please check the data you have entered","Nemohlo sa uložiť, skontrolujte prosím údaje, ktoré ste zadali"
Count,Počet
Count Customizations,Počet prispôsobení
Count Filter,Počet filtrov
Counter,Počítadlo
Country,Krajina
Country Code Required,Požadovaný kód krajiny
Country Name,Názov krajiny
County,Okres
Cr,Cr
Create,Vytvoriť
Create & Continue,Vytvoriť a pokračovať
Create Blogger,Vytvoriť blogera
Create Card,Vytvoriť kartu
Create Chart,Vytvoriť graf
Create Contacts from Incoming Emails,Vytvoriť kontakty z prichádzajúcich e-mailov
Create Custom Fields,Vytvorte vlastné polia
Create Duplicate,Vytvoriť duplikát
Create Entry,Vytvoriť záznam
Create Letter Head,Vytvoriť hlavičkový papier
Create Log,Vytvoriť záznam
Create New,Vytvoriť nový
Create New,Vytvoriť nový
Create New DocType,Vytvoriť nový DocType
Create New Kanban Board,Vytvoriť novú tabuľu Kanban
Create User Email,Vytvoriť email používateľa
Create a New Format,Vytvoriť nový formát
Create a Reminder,Vytvoriť pripomenutie
Create a new ...,Vytvoriť nový ...
Create a new record,Vytvoriť nový záznam
Create a new {0},Vytvoriť nový {0}
Create a {0} Account,Vytvoriť účet {0}
Create and send emails to a specific group of subscribers periodically.,Vytvárajte a odosielajte emaily konkrétnej skupine odberateľov pravidelne.
Create new forms and views with doctypes. Set up multi-level workflows for approval,Vytvorte nové formuláre a pohľady s doctypmi. Nastavte viacúrovňové pracovné postupy pre schvaľovanie
Create or Edit Print Format,Vytvoriť alebo upraviť formát tlače
Create or Edit Workflow,Vytvoriť alebo Upraviť pracovný postup
Create your first {0},Vytvorte svoj prvý {0}
Create your workflow visually using the Workflow Builder.,Vytvorte svoj pracovný postup vizuálne pomocou nástroja Workflow Builder.
Created,Vytvorené
Created At,Vytvorené dňa
Created By,Vytvoril
Created Custom Field {0} in {1},Vytvorené vlastné pole {0} v {1}
Created On,Vytvorené dňa
Creating {0},Vytváram {0}
Criticism,Kritika
Criticize,Kritizovať
Cron,Cron
Cron Format,Formát Cron
Cron format is required for job types with Cron frequency.,Formát Cron je potrebný pre typy úloh s frekvenciou Cron.
Crop,Orezať
Ctrl + Down,Ctrl + Down
Ctrl + Up,Ctrl + Nahor
Ctrl+Enter to add comment,Ctrl+Enter pre pridanie komentára
Currency,Mena
Currency Name,Názov meny
Currency Precision,Presnosť meny
"Currency list stores the currency value, its symbol and fraction unit","Zoznam mien ukladá hodnotu meny, jej symbol a jednotku zlomkov."
Current,Aktuálna
Current Job ID,Aktuálne ID práce
Current Value,Aktuálna hodnota
Current status,Aktuálny stav
Currently Viewing,Aktuálne zobrazenie
Currently you have {0} review points,Aktuálne máte {0} hodnotiacich bodov
Custom,Vlastné
Custom Base URL,Vlastná základná URL adresa
Custom Block Name,Názov vlastného bloku
Custom Blocks,Vlastné bloky
Custom CSS,Vlastné CSS
Custom Configuration,Vlastná konfigurácia
Custom DocPerm,Vlastné DocPerm
Custom Document Types,Vlastné typy dokumentov
Custom Document Types (Select Permission),Vlastné typy dokumentov (Výber povolenia)
Custom Document Types Limit Exceeded,Limit prekročený pre vlastné typy dokumentov
Custom Documents,Vlastné dokumenty
Custom Field,Vlastné pole
Custom Field {0} is created by the Administrator and can only be deleted through the Administrator account.,Vlastné pole {0} bolo vytvorené správcom a môže byť vymazané iba prostredníctvom účtu správcu.
"Custom Field, Custom Doctype, Naming Series, Role Permission, Workflow, Print Formats, Reports","Vlastné pole, Vlastný doctype, Séria názvov, Oprávnenie roly, Pracovný postup, Formáty tlače, Prehľady"
Custom Fields can only be added to a standard DocType.,Vlastné polia môžu byť pridané iba k štandardnému DocType.
Custom Fields cannot be added to core DocTypes.,Prispôsobené polia nemožno pridať do hlavných typov dokumentov.
Custom Footer,Vlastná päta
Custom Format,Vlastný formát
Custom Group Search,Vlastné vyhľadávanie skupín
"Custom Group Search if filled needs to contain the user placeholder {0}, eg uid={0},ou=users,dc=example,dc=com","Vlastné skupinové vyhľadávanie, ak je vyplnené, musí obsahovať používateľský zástupný symbol {0}, napr. uid={0},ou=users,dc=example,dc=com"
Custom HTML,Vlastné HTML
Custom HTML Block,Vlastný HTML blok
Custom HTML Help,Vlastná pomoc HTML
"Custom LDAP Directoy Selected, please ensure 'LDAP Group Member attribute' and 'Group Object Class' are entered","Vybraný vlastný LDAP adresár, prosím uistite sa, že 'LDAP atribút člena skupiny' a 'Objektová trieda skupiny' sú zadané"
Custom Label,Vlastný štítok
Custom Menu Items,Vlastné položky menu
Custom Options,Vlastné možnosti
Custom Overrides,Vlastné prepísania
Custom Report,Vlastná správa
Custom Reports,Vlastné reporty
Custom Role,Vlastná rola
Custom SCSS,Vlastné SCSS
Custom Sidebar Menu,Vlastné bočné menu
Custom Translation,Vlastný preklad
Custom field renamed to {0} successfully.,Vlastné pole bolo úspešne premenované na {0}.
Custom?,Vlastné?
Customization,Prispôsobenie
Customization onboarding is all done!,Prispôsobenie uvítacieho procesu je hotové!
Customizations Discarded,Prispôsobenia zrušené
Customizations Reset,Vlastné nastavenia obnovené
Customizations for <b>{0}</b> exported to:<br>{1},Vlastné úpravy pre <b>{0}</b> exportované do:<br>{1}
Customize,Prispôsobiť
Customize,Prispôsobiť
Customize Child Table,Prispôsobiť podriadenú tabuľku
Customize Dashboard,Prispôsobiť  Dashboard
Customize Form,Upraviť formulár
Customize Form - {0},Prispôsobiť formulár - {0}
Customize Form Field,Prispôsobiť pole formulára
Customize Print Formats,Prispôsobiť tlačové formáty
"Customize properties, naming, fields and more for standard doctypes","Prispôsobte vlastnosti, pomenovanie, polia a ďalšie pre štandardné doctypy"
Cut,Vystrihnúť
Cyan,Cyan
DELETE,DELETE
DESC,DESC
DLE,DLE
DRAFT,NÁVRH
Daily,Denný
Daily Event Digest is sent for Calendar Events where reminders are set.,"Denný prehľad udalostí sa posiela pre udalosti v kalendári, kde sú nastavené pripomienky."
Daily Events should finish on the Same Day.,Denné udalosti by sa mali skončiť v ten istý deň.
Daily Long,Denné dlhé
Danger,Nebezpečenstvo
Dark,Tmavá
Dark Color,Tmavá farba
Dark Theme,Tmavá téma
Dashboard,Dashboard
Dashboard Chart,Dashboardový graf
Dashboard Chart Field,Pole grafu nástenky
Dashboard Chart Link,Odkaz na graf na ovládacom paneli
Dashboard Chart Source,Zdroj prehľadového grafu
Dashboard Manager,Manažér nástenky
Dashboard Name,Názov panela
Dashboard Settings,Nastavenia panela
Dashboard View,Pohľad na paneli nástrojov
Dashboards,Nástenky
Data,Dáta
Data Clipped,Údaje boli skrátené
Data Export,Export údajov
Data Import,Import údajov
Data Import Log,Denník importu dát
Data Import Template,Šablóna na import údajov
Data Too Long,Údaje sú príliš dlhé
Data missing in table,Chýbajúce údaje v tabuľke
Database,Databáza
Database Engine,Databázový stroj
Database Processes,Databázové procesy
Database Row Size Utilization,Využitie veľkosti riadku databázy
Database Storage Usage By Tables,Použitie úložiska databázy podľa tabuliek
Database Table Row Size Limit,Limit veľkosti riadku tabuľky v databáze
"Database Table Row Size Utilization: {0}%, this limits number of fields you can add.","Využitie veľkosti riadku tabuľky databázy: {0}%, toto obmedzuje počet polí, ktoré môžete pridať."
Database Version,Verzia databázy
Date,Dátum
Date Format,Formát dátumu
Date Range,Časové obdobie
Date and Number Format,Formát dátumu a čísla
Date {0} must be in format: {1},Dátum {0} musí byť vo formáte: {1}
Dates are often easy to guess.,Dátumy je často ľahké uhádnuť.
Datetime,Dátum a čas
Day,Deň
Day of Week,Deň týždňa
Days After,Dni po
Days Before,Dni pred
Days Before or After,Dni pred alebo po
Deadlock Occurred,Vyskytol sa deadlock
Dear,Vážený
"Dear System Manager,","Vážený systémový manažér,"
"Dear User,","Vážený používateľ,"
Dear {0},Vážený {0}
Debug Log,Záznam ladenia
Default,Predvolené
Default Address Template cannot be deleted,Predvolená šablóna adresy nemôže byť odstránená
Default Amendment Naming,Predvolený názov dodatku
Default App,Predvolená aplikácia
Default Email Template,Predvolená šablóna emailu
Default Inbox,Predvolená doručená pošta
Default Incoming,Predvolené prichádzajúce
Default Letter Head,Predvolená hlavička listu
Default Naming,Predvolené pomenovanie
Default Outgoing,Predvolené odchádzajúce
Default Portal Home,Predvolená domovská stránka portálu
Default Print Format,Predvolený formát tlače
Default Print Language,Predvolený jazyk tlače
Default Redirect URI,Predvolená presmerovacia URI
Default Role at Time of Signup,Predvolená rola pri registrácii
Default Sending,Predvolené odosielanie
Default Sending and Inbox,Predvolené odosielanie a prijatá pošta
Default Sort Field,Predvolené triediace pole
Default Sort Order,Predvolené poradie zoradenia
Default Template For Field,Šablóna predvolenej šablóny pre pole
Default Theme,Predvolená téma
Default User Role,Predvolená rola používateľa
Default User Type,Predvolený typ používateľa
Default Value,Predvolená hodnota
Default View,Predvolený pohľad
Default Workspace,Predvolený pracovný priestor
Default display currency,Predvolená mena zobrazenia
Default for 'Check' type of field {0} must be either '0' or '1',Predvolená hodnota pre pole typu 'Check' {0} musí byť buď '0' alebo '1'
Default value for {0} must be in the list of options.,Predvolená hodnota pre {0} musí byť v zozname možností.
Default {0},Predvolené {0}
"Default: ""Contact Us""","Predvolené: ""Contact Us"""
DefaultValue,PredvolenáHodnota
Defaults,Predvolené
Defaults Updated,Predvolená nastavenia aktualizované
Defines actions on states and the next step and allowed roles.,Definuje akcie na stavoch a ďalší krok a povolené úlohy.
Defines workflow states and rules for a document.,Definuje stavy pracovného postupu a pravidlá pre dokument.
Delayed,Oneskorené
Delete,Odstrániť
Delete,Odstrániť
Delete Account,Odstrániť účet
Delete All,Vymazať všetko
Delete Column,Odstrániť stĺpec
Delete Data,Odstrániť údaje
Delete Kanban Board,Zmazať Kanban tabuľu
Delete Section,Odstrániť sekciu
Delete Tab,Odstrániť kartu
Delete Workspace,Odstrániť pracovný priestor
Delete and Generate New,Vymazať a vygenerovať nový
Delete column,Odstrániť stĺpec
Delete comment?,Vymazať komentár?
Delete entire column with fields,Odstrániť celý stĺpec s poľami
Delete entire section with fields,Odstrániť celú sekciu s poľami
Delete entire tab with fields,Odstrániť celú kartu s poliami
Delete section,Odstrániť sekciu
Delete tab,Vymazať kartu
Delete this record to allow sending to this email address,"Odstráňte tento záznam, aby bolo možné odosielať na túto emailovú adresu"
Delete {0} item permanently?,Odstrániť položku {0} natrvalo?
Delete {0} items permanently?,Odstrániť {0} položiek natrvalo?
Deleted,Zmazané
Deleted DocType,Odstránený typ dokumentu
Deleted Document,Odstránený dokument
Deleted Documents,Odstránené dokumenty
Deleted Name,Vymazané meno
Deleted all documents successfully,Odstránili všetky dokumenty úspešne
Deleting {0},Zmazanie {0}
Deleting {0} records...,Mazanie {0} záznamov...
Deleting {0}...,Odstraňovanie {0}...
Deletion Steps,Kroky vymazania
Delimiter must be a single character,Oddeľovač musí byť jeden znak
Delivery Status,Stav doručenia
Deny,Odmietnuť
Department,Oddelenie
Dependencies,Závislosti
Depends On,Závisí od
Descendants Of,Potomkovia z
Descendants Of (inclusive),Potomkovia (vrátane)
Description,Popis
"Description for listing page, in plain text, only a couple of lines. (max 200 characters)","Popis pre stránku s výpisom, v obyčajnom texte, iba niekoľko riadkov. (maximálne 200 znakov)"
Description to inform the user about any action that is going to be performed,"Popis na informovanie používateľa o akcii, ktorá sa bude vykonávať"
Designation,Označenie
Desk Access,Prístup k pracovnej ploche
Desk Settings,Nastavenia pracovnej plochy
Desk Theme,"""Téma pracovnej plochy"""
Desk User,Používateľ pracovnej plochy
Desktop Icon,Ikona na pracovnej ploche
Desktop Icon already exists,Ikona na ploche už existuje
Details,Podrobnosti
Did not add,Nepridané
Did not remove,Neodstránil
Diff,Rozdiel
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Rôzne ""Stavy"", v ktorých môže tento dokument existovať. Napríklad ""Otvorený"", ""Čaká na schválenie"" atď."
Digits,Cifry
Directory Server,Adresárový server
Disable Auto Refresh,Zakázať automatické obnovenie
Disable Change Log Notification,Zakázať upozornenie na zmenu protokolu
Disable Comment Count,Zakázať počítanie komentárov
Disable Comments,Zakázať komentáre
Disable Count,Zakázať počítanie
Disable Document Sharing,Zakázať zdieľanie dokumentov
Disable Likes,"Zakázať hodnotenia ""Páči sa mi"""
Disable Report,Deaktivovať správu
Disable SMTP server authentication,Zakázať overenie SMTP servera
Disable Sidebar Stats,Zakázať štatistiky bočného panela
Disable Signup for your site,Zakázať registráciu na vašej stránke
Disable Standard Email Footer,Zakázať štandardnú pätu e-mailu
Disable System Update Notification,Zakázať upozornenie na aktualizáciu systému
Disable Username/Password Login,Zakázať prihlásenie používateľským menom a heslom
Disable signups,Zakázať registrácie
Disabled,Zakázané
Disabled Auto Reply,Zakázaná automatická odpoveď
Discard,Zahodiť
Discard,Zahodiť
Discard?,Zahodiť?
Disclaimer: These indexes are suggested based on data and queries performed during this recording. These suggestions may or may not help.,"Upozornenie: Tieto indexy sú navrhnuté na základe údajov a dopytov vykonaných počas tohto záznamu. Tieto návrhy môžu, ale nemusia pomôcť."
Discussion Reply,Odpoveď na diskusiu
Discussion Topic,"""Téma diskusie"""
Dismiss,Zatvoriť
Dismiss,Zatvoriť
Display,Zobraziť
Display Depends On,Zobrazenie závisí od
Display Depends On (JS),Zobrazenie závisí na (JS)
Divider,Rozdeľovač
Do Not Create New User,Nevytvárať nového používateľa
Do not create new user if user with email does not exist in the system,"Nevytvárať nového používateľa, ak používateľ s emailom neexistuje v systéme."
Do not edit headers which are preset in the template,"Neupravujte hlavičky, ktoré sú vopred nastavené v šablóne"
Do not have permission to access bucket {0}.,Nemáte povolenie na prístup k úložisku {0}.
Do you still want to proceed?,Chcete stále pokračovať?
Do you want to cancel all linked documents?,Chcete zrušiť všetky prepojené dokumenty?
Doc Event,Udalosť dokumentu
Doc Events,Udalosti dokumentu
Doc Status,Stav dokumentu
DocField,Pole dokumentu
DocPerm,DocPerm
DocShare,Zdieľanie dokumentu
DocStatus of the following states have changed:<br><strong>{0}</strong><br> 				Do you want to update the docstatus of existing documents in those states?<br> 				This does not undo any effect bought in by the document's existing docstatus.,DocStatus nasledujúcich stavov sa zmenil:<br><strong>{0}</strong><br> 				Chcete aktualizovať docstatus existujúcich dokumentov v týchto stavoch?<br> 				Toto nezruší žiadny účinok spôsobený existujúcim docstatusom dokumentu.
DocType,DocType
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,DocType <b>{0}</b> uvedený pre pole <b>{1}</b> musí mať aspoň jedno pole typu Link
DocType Action,Akcia DocType
DocType Event,Udalosť DocType
DocType Layout,Rozloženie DocType
DocType Layout Field,Pole rozloženia DocType
DocType Link,Prepojenie DocType
DocType State,Štát DocType
DocType View,Zobrazenie DocType
DocType can not be merged,DocType sa nedá zlúčiť
DocType can only be renamed by Administrator,DocType môže byť premenovaný iba administrátorom
DocType is a Table / Form in the application.,DocType je tabuľka / formulár v aplikácii.
DocType must be Submittable for the selected Doc Event,DocType musí byť predložiteľný pre vybranú udalosť dokumentu
DocType must be a string,DocType musí byť reťazec
DocType must have atleast one field,DocType musí mať aspoň jedno pole
DocType not supported by Log Settings.,Log Settings nepodporuje tento DocType.
DocType on which this Workflow is applicable.,DocType na ktorý je tento pracovný tok použiteľný.
DocType required,Požaduje sa DocType
DocType {0} does not exist.,DocType {0} neexistuje.
DocType {} not found,DocType {} nebol nájdený
DocType's name should not start or end with whitespace,Názov DocType by nemal začínať alebo končiť medzerou
"DocTypes can not be modified, please use {0} instead","DocTypes nemožno upravovať, použite prosím {0} namiesto toho"
Doctype,Typ dokumentu
Doctype name is limited to {0} characters ({1}),Názov Doctype je obmedzený na {0} znakov ({1})
Doctype required,Požadovaný doctype
Doctype with same route already exist. Please choose different title.,"Doctype s rovnakou cestou už existuje. Prosím, vyberte iný názov."
Document,Dokument
Document Actions,Akcie dokumentu
Document Follow,Sledovanie dokumentu
Document Follow Notification,Upozornenie na sledovanie dokumentu
Document Link,Odkaz na dokument
Document Linking,Prepojenie dokumentov
Document Links,Odkazy na dokument
Document Links Row #{0}: Could not find field {1} in {2} DocType,Riadok prepojení dokumentov č. {0}: Nepodarilo sa nájsť pole {1} v DocType {2}
Document Links Row #{0}: Invalid doctype or fieldname.,Riadok odkazov dokumentu č. {0}: Neplatný typ dokumentu alebo názov poľa.
Document Links Row #{0}: Parent DocType is mandatory for internal links,Riadok prepojení dokumentu č. {0}: Typ dokumentu nadriadeného je povinný pre interné prepojenia
Document Links Row #{0}: Table Fieldname is mandatory for internal links,Riadok s odkazmi na dokument #{0}: Názov poľa tabuľky je povinný pre interné odkazy
Document Name,Názov dokumentu
Document Name must be a string,Názov dokumentu musí byť reťazec
Document Naming Rule,Pravidlo pomenovania dokumentu
Document Naming Rule Condition,Podmienka pravidla pomenovania dokumentu
Document Naming Settings,Nastavenia pomenovania dokumentov
Document Queued,Dokument v poradovníku
Document Restoration Summary,Súhrn obnovy dokumentu
Document Restored,Dokument bol obnovený
Document Saved,Dokument uložený
Document Share,Zdieľanie dokumentu
Document Share Key,Kľúč pre zdieľanie dokumentu
Document Share Key Expiry (in Days),Koniec platnosti kľúča na zdieľanie dokumentu (v dňoch)
Document Share Report,Správa o zdieľaní dokumentu
Document States,Stavy dokumentov
Document Status,Stav dokumentu
Document Tag,Dokumentový štítok
Document Title,Názov dokumentu
Document Type,Typ dokumentu
Document Type and Function are required to create a number card,Typ dokumentu a funkcia sú potrebné na vytvorenie číselnej karty
Document Type is not importable,Typ dokumentu nie je možné importovať
Document Type is not submittable,Typ dokumentu nie je možné odoslať.
Document Type to Track,Typ dokumentu na sledovanie
Document Type {0} has been repeated.,Typ dokumentu {0} sa opakuje.
Document Types,Dokumenty typov
Document Types (Select Permissions Only),Typy dokumentov (vybrať iba povolenia)
Document Types and Permissions,Typy dokumentov a povolenia
Document Unlocked,Dokument odomknutý
Document has been cancelled,Dokument bol zrušený
Document has been submitted,Dokument bol odoslaný
Document is in draft state,Dokument je v stave návrhu
Document is only editable by users with role,Dokument je editovateľný iba používateľmi s rolou
Document not Relinked,Dokument nie je znovu prepojený
Document renamed from {0} to {1},Dokument premenovaný z {0} na {1}
Document renaming from {0} to {1} has been queued,Premenovanie dokumentu z {0} na {1} bolo zaradené do frontu
Document type is required to create a dashboard chart,Typ dokumentu je povinný na vytvorenie grafu na informačnom paneli
Document {0} Already Restored,Dokument {0} už bol obnovený
Document {0} has been set to state {1} by {2},Dokument {0} bol nastavený na stav {1} používateľom {2}
Document {0} {1} does not exist,Dokument {0} {1} neexistuje
Documentation Link,Odkaz na dokumentáciu
Documentation URL,URL dokumentácie
Documents,Dokumenty
Documents restored successfully,Dokumenty boli úspešne obnovené
Documents that failed to restore,"Dokumenty, ktoré sa nepodarilo obnoviť"
Documents that were already restored,"Dokumenty, ktoré už boli obnovené"
Domain,Doména
Domain Name,Názov domény
Domain Settings,Nastavenia Domény
Domains HTML,Domény HTML
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Nekódujte HTML tagy ako &lt;script&gt; alebo len znaky ako &lt; alebo &gt;, pretože môžu byť zámerne použité v tomto poli"
Don't Import,Neimportovať
Don't Override Status,Neprepísať stav
Don't Send Emails,Neposielať e-maily
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Nezakódujte HTML tagy ako &lt;script&gt; alebo len znaky ako &lt; alebo &gt;, keďže by mohli byť zámerne použité v tomto poli"
Don't have an account?,Nemáte účet?
Done,Hotovo
Donut,Donut
Double click to edit label,Dvojité kliknutie na úpravu štítku
Download,Stiahnuť
Download,Stiahnuť
Download Backups,Stiahnuť zálohy
Download Data,Stiahnuť dáta
Download Files Backup,Stiahnuť zálohu súborov
Download Link,Odkaz na stiahnutie
Download PDF,Stiahnuť PDF
Download Report,Stiahnuť správu
Download Template,Stiahnuť šablónu
Download Your Data,Stiahnite si svoje údaje
Dr,Dr
Draft,Návrh
Drag,Ťahajte
Drag & Drop a section here from another tab,Presuňte myšou sekciu sem z inej karty.
Drag and drop files here or upload from,Presuňte a pustite súbory sem alebo nahrajte z
Drag columns to set order. Column width is set in percentage. The total width should not be more than 100. Columns marked in red will be removed.,Presuňte stĺpce na nastavenie poradia. Šírka stĺpca je nastavená v percentách. Celková šírka by nemala byť viac ako 100. Stĺpce označené červenou farbou budú odstránené.
Drag elements from the sidebar to add. Drag them back to trash.,"Presuňte prvky z postranného panela, aby ste ich pridali. Presuňte ich späť do koša."
Drag to add state,Potiahnite na pridanie stavu
Drop files here,"""Pustite súbory sem"""
Dropbox Access Token,Prístupový token služby Dropbox
Dropbox Refresh Token,Dropbox obnovovací token
Dropbox Settings,Nastavenia Dropboxu
Dropbox Setup,Nastavenie Dropboxu
Dropdowns,Rozbaľovacie zoznamy
Due Date,Dátum splatnosti
Due Date Based On,Dátum splatnosti na základe
Duplicate,Duplicovať
Duplicate Entry,Duplicitný záznam
Duplicate Filter Name,Duplicitný názov filtra
Duplicate Name,Duplikát mena
Duplicate Workspace,Duplikovať pracovný priestor
Duplicate current row,Duplikovať aktuálny riadok
Duplicate field,Duplikovať pole
Duplicate of {0} named as {1} is created successfully,Duplikát {0} s názvom {1} bol úspešne vytvorený
Duration,Dĺžka trvania
Dynamic Filters,Dynamické filtre
Dynamic Filters JSON,Dynamické filtre JSON
Dynamic Filters Section,Sekcia dynamických filtrov
Dynamic Link,Dynamický odkaz
Dynamic Report Filters,Dynamické filtre správy
Dynamic Route,Dynamická trasa
Dynamic Template,Dynamická šablóna
ESC,ESC
"Each document created in ERPNext can have a unique ID generated for it, using a prefix defined for it. Though each document has some prefix pre-configured, you can further customize it using tools like Naming Series Tool and Document Naming Rule.","Každý dokument vytvorený v ERPNext môže mať jedinečné ID generované pomocou predfinovanej predpony. Aj keď má každý dokument nejakú prednastavenú predponu, môžete ju ďalej prispôsobiť pomocou nástrojov ako Naming Series Tool a Document Naming Rule."
Edit,Upraviť
Edit,Upraviť
Edit,Upraviť
Edit,Upraviť
Edit Auto Email Report Settings,Upraviť nastavenia automatického e-mailového reportu
Edit Custom HTML,Upraviť vlastné HTML
Edit DocType,Upraviť DocType
Edit DocType,Upraviť DocType
Edit Existing,Upraviť existujúce
Edit Filters,Upraviť filtre
Edit Footer,Upraviť pätičku
Edit Format,Upraviť formátovanie
Edit Full Form,Upraviť celý formulár
Edit HTML,Upraviť HTML
Edit Header,Upraviť hlavičku
Edit Heading,Upraviť nadpis
Edit Letter Head,Upraviť hlavičku listu
Edit Letter Head Footer,Upraviť pätičku hlavičky listu
Edit Print Format,Upraviť formát tlače
Edit Profile,Upraviť profil
Edit Properties,Upraviť vlastnosti
Edit Values,Upraviť hodnoty
Edit Workspace,Upraviť pracovnú plochu
Edit mode,Režim úprav
Edit to add content,Upraviť na pridanie obsahu
Edit your response,Upraviť vašu odpoveď
Edit your workflow visually using the Workflow Builder.,Upravte svoj pracovný postup vizuálne pomocou Nástroja na tvorbu pracovných postupov.
Edit {0},Upraviť {0}
Editable Grid,Editovateľná mriežka
Editing Row,Úprava riadku
Editing {0},Upravuje sa {0}
Eg. smsgateway.com/api/send_sms.cgi,Napr. smsgateway.com/api/send_sms.cgi
Either key or IP flag is required.,"Je potrebný buď kľúč, alebo IP príznak."
Element Selector,Výber prvku
Email,Email
Email Account,E-mailový účet
Email Account Disabled.,E-mailový účet je deaktivovaný.
Email Account Name,Názov e-mailového účtu
Email Account added multiple times,E-mailový účet bol pridaný viackrát
Email Account not setup. Please create a new Email Account from Settings > Email Account,"E-mailový účet nie je nastavený. Prosím, vytvorte nový e-mailový účet v Nastavenia > E-mailový účet."
Email Address,Emailová adresa
Email Address whose Google Contacts are to be synced.,"E-mailová adresa, ktorej Google kontakty sa majú synchronizovať."
Email Addresses,Emailové adresy
Email Domain,E-mailová doména
Email Flag Queue,Fronta príznakov emailu
Email Footer Address,E-mailová adresa pätičky
Email Group,E-mailová skupina
Email Group Member,Člen emailovej skupiny
Email ID,Emailová adresa ID
Email IDs,Emailové ID
Email Id,Emailová adresa
Email Inbox,Emailová schránka
Email Queue,E-mailová fronta
Email Queue Recipient,Príjemca frontu e-mailov
Email Queue flushing aborted due to too many failures.,Vyprázdnenie fronty e-mailov bolo prerušené z dôvodu príliš veľkého počtu zlyhaní.
Email Queue records.,Záznamy fronty e-mailov.
Email Reply Help,Pomoc pri odpovedi na email
Email Retry Limit,Limit opakovaného pokusu o odoslanie emailu
Email Rule,"""Pravidlo pre e-mail"""
Email Sent,E-mail odoslaný
Email Sent At,Čas odoslania emailu
Email Settings,Nastavenia e-mailu
Email Signature,E-mailový podpis
Email Status,Stav emailu
Email Sync Option,Možnosť synchronizácie e-mailov
Email Template,Šablóna e-mailu
Email Threads on Assigned Document,E-mailové vlákna na priradenom dokumente
Email To,Email pre
Email Unsubscribe,Zrušenie odberu e-mailov
Email has been marked as spam,Email bol označený ako spam
Email has been moved to trash,Email bol presunutý do koša
Email not sent to {0} (unsubscribed / disabled),Email nebol odoslaný na {0} (odhlásený / deaktivovaný)
Email not verified with {0},Email nie je overený s {0}
Email queue is currently suspended. Resume to automatically send emails.,E-mailová fronta je momentálne pozastavená. Obnovte na automatické odosielanie e-mailov.
Emails,E-maily
Emails are muted,E-maily sú stlmené
Emails will be sent with next possible workflow actions,Emaily budú odoslané s nasledujúcimi možnými akciami pracovného postupu
Embed code copied,Kód na vloženie bol skopírovaný
Empty column,Prázdny stĺpec
